ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,DAY_OF_WEEK,DAY_WEEK_DESC,DCA_CODE,DCA_DESC,LIGHT_CONDITION,NODE_ID,NO_OF_VEHICLES,NO_PERSONS_KILLED,NO_PERSONS_INJ_2,NO_PERSONS_INJ_3,NO_PERSONS_NOT_INJ,NO_PERSONS,POLICE_ATTEND,ROAD_GEOMETRY,ROAD_GEOMETRY_DESC,SEVERITY,SPEED_ZONE,RMA,AGE_GROUP,INJ_LEVEL,ROAD_USER_TYPE_DESC
T20120023328,10/3/2012,8:30:00,1,Collision with vehicle,4,Wednesday,147,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,1,73869,2,0,0,1,1,2,2,2,T intersection,3,60,Arterial Highway,65-69,Other injury,Bicyclists
T20120023330,10/15/2012,9:30:00,1,Collision with vehicle,2,Monday,147,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,1,35663,2,0,0,1,1,2,2,2,T intersection,3,50,Local Road,30-39,Other injury,Bicyclists
T20120023355,10/9/2012,15:00:00,1,Collision with vehicle,3,Tuesday,148,VEHICLE OFF FOOTPATH STRIKES VEH ON CARRIAGEWAY,1,221487,2,0,0,1,1,2,2,2,T intersection,3,80,Arterial Other,22-25,Other injury,Bicyclists
T20120023366,10/16/2012,5:55:00,1,Collision with vehicle,3,Tuesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),2,64283,2,0,0,1,1,2,1,1,Cross intersection,3,50,Arterial Highway,50-59,Other injury,Bicyclists
T20120023373,10/16/2012,8:30:00,1,Collision with vehicle,3,Tuesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,54553,2,0,0,1,2,3,1,1,Cross intersection,3,70,Arterial Highway,30-39,Other injury,Bicyclists
T20120023403,10/2/2012,18:30:00,1,Collision with vehicle,3,Tuesday,139,OTHER SAME DIRECTION-MANOUEVRES NOT INCLUDED IN DCAs 130-137,3,255780,2,0,0,1,1,2,2,5,Not at intersection,3,40,Arterial Other,30-39,Other injury,Bicyclists
T20120023436,10/16/2012,7:50:00,1,Collision with vehicle,3,Tuesday,121,RIGHT THROUGH,1,36847,2,0,0,1,1,2,2,2,T intersection,3,50,Local Road,26-29,Other injury,Bicyclists
T20120023470,10/17/2012,16:10:00,1,Collision with vehicle,4,Wednesday,148,VEHICLE OFF FOOTPATH STRIKES VEH ON CARRIAGEWAY,1,257088,2,0,0,1,1,2,1,5,Not at intersection,3,40,Local Road,16-17,Other injury,Bicyclists
T20120023473,10/17/2012,16:05:00,1,Collision with vehicle,4,Wednesday,136,RIGHT TURN SIDESWIPE,1,412,2,0,0,1,1,2,1,1,Cross intersection,3,50,Local Road,26-29,Other injury,Bicyclists
T20120023482,10/17/2012,19:21:00,1,Collision with vehicle,4,Wednesday,147,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,1,255720,2,0,1,0,1,2,1,5,Not at intersection,2,60,Arterial Highway,16-17,Serious injury,Bicyclists
T20120023514,10/17/2012,14:45:00,1,Collision with vehicle,4,Wednesday,116,LEFT NEAR (INTERSECTIONS ONLY),1,42515,2,0,0,1,1,2,2,2,T intersection,3,70,Arterial Highway,50-59,Other injury,Bicyclists
T20120023560,10/16/2012,8:20:00,1,Collision with vehicle,3,Tuesday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE,1,256263,2,0,0,1,1,2,2,5,Not at intersection,3,50,Arterial Other,26-29,Other injury,Bicyclists
T20120023581,10/18/2012,15:45:00,1,Collision with vehicle,5,Thursday,135,LANE CHANGE LEFT (NOT OVERTAKING),1,255683,2,0,0,1,1,2,1,5,Not at intersection,3,60,Local Road,18-21,Other injury,Bicyclists
T20120023585,10/17/2012,16:25:00,1,Collision with vehicle,4,Wednesday,121,RIGHT THROUGH,1,38896,2,0,1,0,1,2,1,1,Cross intersection,2,60,Arterial Other,30-39,Serious injury,Bicyclists
T20120023587,10/19/2012,6:15:00,1,Collision with vehicle,6,Friday,119,OTHER ADJACENT (INTERSECTIONS ONLY),2,66605,2,0,0,1,1,2,1,2,T intersection,3,80,Arterial Other,40-49,Other injury,Bicyclists
T20120023627,10/19/2012,17:04:00,1,Collision with vehicle,5,Friday,133,LANE SIDE SWIPE (VEHICLES IN PARALLEL LANES),1,257089,2,0,0,1,1,2,1,5,Not at intersection,3,60,Local Road,16-17,Other injury,Bicyclists
T20120023676,10/20/2012,10:30:00,1,Collision with vehicle,7,Saturday,121,RIGHT THROUGH,1,881,3,0,0,3,0,3,1,2,T intersection,3,60,Local Road,50-59,Other injury,Bicyclists
T20120023679,10/20/2012,10:40:00,1,Collision with vehicle,7,Saturday,133,LANE SIDE SWIPE (VEHICLES IN PARALLEL LANES),1,255704,2,0,1,0,2,3,1,5,Not at intersection,2,60,Arterial Other,40-49,Serious injury,Bicyclists
T20120023715,10/20/2012,15:00:00,1,Collision with vehicle,7,Saturday,140,U TURN,1,255756,2,0,1,0,1,2,1,2,T intersection,2,60,Local Road,60-64,Serious injury,Bicyclists
T20120023746,10/21/2012,9:30:00,1,Collision with vehicle,1,Sunday,139,OTHER SAME DIRECTION-MANOUEVRES NOT INCLUDED IN DCAs 130-137,1,255686,4,0,0,3,1,4,1,5,Not at intersection,3,60,Arterial Highway,50-59,Other injury,Bicyclists
T20120023751,10/21/2012,10:25:00,8,No collision and no object struck,1,Sunday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,255689,1,0,0,1,0,1,1,5,Not at intersection,3,80,Arterial Highway,30-39,Other injury,Bicyclists
T20120023752,10/21/2012,11:50:00,1,Collision with vehicle,1,Sunday,137,LEFT TURN SIDESWIPE,1,255690,2,0,0,1,1,2,1,1,Cross intersection,3,50,Local Road,22-25,Other injury,Bicyclists
T20120023759,10/21/2012,11:00:00,1,Collision with vehicle,1,Sunday,160,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,1,255237,2,0,0,1,0,1,2,5,Not at intersection,3,50,Arterial Other,60-64,Other injury,Bicyclists
T20120023761,10/21/2012,12:30:00,8,No collision and no object struck,1,Sunday,170,OFF CARRIAGEWAY TO LEFT,1,255548,3,0,0,2,1,3,1,5,Not at intersection,3,60,Arterial Highway,65-69,Other injury,Bicyclists
T20120023772,10/20/2012,13:00:00,1,Collision with vehicle,7,Saturday,147,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,1,68894,2,0,0,1,1,2,2,2,T intersection,3,999,Arterial Other,22-25,Other injury,Bicyclists
T20120023818,10/19/2012,15:45:00,1,Collision with vehicle,6,Friday,147,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,1,257093,2,0,0,1,1,2,2,5,Not at intersection,3,999,Local Road,30-39,Other injury,Bicyclists
T20120023843,10/22/2012,9:30:00,1,Collision with vehicle,2,Monday,116,LEFT NEAR (INTERSECTIONS ONLY),1,252828,2,0,0,1,1,2,2,2,T intersection,3,50,Arterial Other,18-21,Other injury,Bicyclists
T20120023850,10/22/2012,18:05:00,1,Collision with vehicle,2,Monday,116,LEFT NEAR (INTERSECTIONS ONLY),1,48192,2,0,1,0,1,2,1,2,T intersection,2,999,Local Road,50-59,Serious injury,Bicyclists
T20120023887,10/23/2012,8:40:00,1,Collision with vehicle,3,Tuesday,137,LEFT TURN SIDESWIPE,1,65922,2,0,1,0,1,2,1,2,T intersection,2,40,Arterial Other,40-49,Serious injury,Bicyclists
T20120023889,9/24/2012,11:00:00,1,Collision with vehicle,2,Monday,160,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,1,255220,2,0,0,1,0,1,2,5,Not at intersection,3,60,Local Road,40-49,Other injury,Bicyclists
T20120023890,10/23/2012,9:30:00,1,Collision with vehicle,3,Tuesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,51386,2,0,0,1,1,2,1,1,Cross intersection,3,50,Arterial Other,40-49,Other injury,Bicyclists
T20120023902,10/22/2012,17:50:00,1,Collision with vehicle,2,Monday,121,RIGHT THROUGH,1,37914,2,0,0,1,1,2,2,1,Cross intersection,3,50,Uknown,40-49,Other injury,Bicyclists
T20120023934,10/23/2012,16:20:00,1,Collision with vehicle,3,Tuesday,130,REAR END(VEHICLES IN SAME LANE),1,256122,2,0,1,0,1,2,1,5,Not at intersection,2,60,Local Road,40-49,Serious injury,Bicyclists
T20120024014,10/24/2012,16:32:00,1,Collision with vehicle,4,Wednesday,135,LANE CHANGE LEFT (NOT OVERTAKING),1,258446,2,0,1,0,1,2,1,5,Not at intersection,2,60,Local Road,13-15,Serious injury,Bicyclists
T20120024021,10/24/2012,17:15:00,1,Collision with vehicle,4,Wednesday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE,1,255606,2,0,0,1,1,2,1,5,Not at intersection,3,50,Local Road,40-49,Other injury,Bicyclists
T20120024031,10/24/2012,8:28:00,1,Collision with vehicle,4,Wednesday,137,LEFT TURN SIDESWIPE,1,53272,2,0,0,1,1,2,1,2,T intersection,3,50,Local Road,26-29,Other injury,Bicyclists
T20120024046,10/25/2012,8:17:00,1,Collision with vehicle,4,Thursday,121,RIGHT THROUGH,1,36693,4,0,1,2,1,4,1,2,T intersection,2,70,Arterial Highway,40-49,Other injury,Bicyclists
T20120024058,10/25/2012,7:12:00,1,Collision with vehicle,5,Thursday,160,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,1,37292,2,0,0,1,1,2,1,2,T intersection,3,60,Arterial Other,26-29,Other injury,Bicyclists
T20120024091,10/25/2012,18:20:00,1,Collision with vehicle,5,Thursday,116,LEFT NEAR (INTERSECTIONS ONLY),1,243682,2,0,0,1,2,3,2,2,T intersection,3,80,Arterial Highway,30-39,Other injury,Bicyclists
T20120024145,10/26/2012,9:05:00,1,Collision with vehicle,6,Friday,160,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,1,255651,2,0,1,0,0,1,1,2,T intersection,2,50,Local Road,50-59,Serious injury,Bicyclists
T20120024146,10/26/2012,6:45:00,1,Collision with vehicle,6,Friday,121,RIGHT THROUGH,1,349,2,0,0,1,1,2,1,1,Cross intersection,3,50,Local Road,30-39,Other injury,Bicyclists
T20120024201,10/26/2012,18:00:00,1,Collision with vehicle,6,Friday,113,RIGHT NEAR (INTERSECTIONS ONLY),1,47471,2,0,1,0,1,2,1,2,T intersection,2,999,Local Road,26-29,Serious injury,Bicyclists
T20120024309,10/27/2012,10:35:00,1,Collision with vehicle,7,Saturday,130,REAR END(VEHICLES IN SAME LANE),1,273876,2,0,1,0,1,2,1,5,Not at intersection,2,100,Arterial Other,30-39,Serious injury,Bicyclists
T20120024313,10/28/2012,9:00:00,1,Collision with vehicle,1,Sunday,137,LEFT TURN SIDESWIPE,1,38460,2,0,0,1,1,2,2,2,T intersection,3,70,Local Road,30-39,Other injury,Bicyclists
T20120024357,10/28/2012,17:55:00,1,Collision with vehicle,1,Sunday,137,LEFT TURN SIDESWIPE,1,142034,2,0,0,1,3,4,1,5,Not at intersection,3,50,Local Road,50-59,Other injury,Bicyclists
T20120024383,10/21/2012,10:30:00,1,Collision with vehicle,1,Sunday,139,OTHER SAME DIRECTION-MANOUEVRES NOT INCLUDED IN DCAs 130-137,1,255474,3,1,1,1,0,3,1,5,Not at intersection,1,100,Uknown,70+,Fatality,Bicyclists
T20120024425,10/19/2012,7:40:00,1,Collision with vehicle,6,Friday,147,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,1,255960,2,0,0,1,1,2,2,5,Not at intersection,3,999,Uknown,30-39,Other injury,Bicyclists
T20120024439,10/29/2012,18:40:00,1,Collision with vehicle,2,Monday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE,1,256076,2,0,0,1,1,2,1,5,Not at intersection,3,60,Local Road,50-59,Other injury,Bicyclists
T20120024472,10/30/2012,8:00:00,1,Collision with vehicle,3,Tuesday,131,LEFT REAR,1,255648,2,0,0,1,1,2,1,5,Not at intersection,3,50,Arterial Other,30-39,Other injury,Bicyclists
T20120024509,10/30/2012,15:30:00,1,Collision with vehicle,3,Tuesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,49316,2,0,0,1,1,2,1,1,Cross intersection,3,60,Arterial Other,18-21,Other injury,Bicyclists
T20120024535,10/31/2012,7:00:00,1,Collision with vehicle,4,Wednesday,121,RIGHT THROUGH,1,43553,2,0,1,0,1,2,1,1,Cross intersection,2,60,Arterial Other,65-69,Serious injury,Bicyclists
T20120024553,10/31/2012,7:12:00,1,Collision with vehicle,4,Wednesday,137,LEFT TURN SIDESWIPE,1,36688,2,0,0,1,1,2,1,1,Cross intersection,3,60,Arterial Other,40-49,Other injury,Bicyclists
T20120024556,10/18/2012,17:45:00,6,Vehicle overturned (no collision),5,Thursday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,255966,1,0,0,1,0,1,2,5,Not at intersection,3,40,Arterial Other,50-59,Other injury,Bicyclists
T20120024559,10/31/2012,9:50:00,1,Collision with vehicle,4,Wednesday,143,ENTERING PARKING,1,255961,2,0,0,1,2,3,1,5,Not at intersection,3,50,Uknown,13-15,Other injury,Bicyclists
T20120024574,10/31/2012,13:30:00,1,Collision with vehicle,4,Wednesday,116,LEFT NEAR (INTERSECTIONS ONLY),1,47072,2,0,0,1,1,2,1,2,T intersection,3,888,Arterial Highway,13-15,Other injury,Bicyclists
T20120024641,10/31/2012,17:55:00,1,Collision with vehicle,4,Wednesday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE,1,256087,2,0,0,2,1,3,1,5,Not at intersection,3,60,Arterial Other,40-49,Other injury,Bicyclists
T20120024743,11/2/2012,15:18:00,1,Collision with vehicle,6,Friday,135,LANE CHANGE LEFT (NOT OVERTAKING),1,257717,2,0,0,2,0,2,2,5,Not at intersection,3,40,Arterial Other,30-39,Other injury,Bicyclists
T20120024753,10/30/2012,16:53:00,1,Collision with vehicle,3,Tuesday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE,1,256565,2,0,0,1,1,2,2,2,T intersection,3,60,Arterial Other,60-64,Other injury,Bicyclists
T20120024755,10/28/2012,17:00:00,1,Collision with vehicle,1,Sunday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE,1,141720,2,0,1,0,1,2,2,5,Not at intersection,2,40,Local Road,30-39,Serious injury,Bicyclists
T20120024802,10/23/2012,14:10:00,1,Collision with vehicle,3,Tuesday,137,LEFT TURN SIDESWIPE,1,255888,2,0,0,1,1,2,2,5,Not at intersection,3,999,Local Road,22-25,Other injury,Bicyclists
T20120024818,10/14/2012,9:45:00,8,No collision and no object struck,1,Sunday,179,OTHER ACCIDENTS-OFF STRAIGHT NOT INCLUDED IN DCAs 170-175,1,29721,1,0,0,1,0,1,2,2,T intersection,3,60,Arterial Other,40-49,Other injury,Bicyclists
T20120024833,11/3/2012,15:04:00,1,Collision with vehicle,7,Saturday,148,VEHICLE OFF FOOTPATH STRIKES VEH ON CARRIAGEWAY,1,37066,2,0,1,0,4,5,1,1,Cross intersection,2,40,Arterial Highway,40-49,Serious injury,Bicyclists
T20120024846,11/3/2012,8:30:00,1,Collision with vehicle,7,Saturday,121,RIGHT THROUGH,1,273892,2,0,0,1,1,2,2,5,Not at intersection,3,80,Arterial Other,40-49,Other injury,Bicyclists
T20120024886,11/4/2012,12:50:00,1,Collision with vehicle,0,Sunday,160,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,1,257461,2,0,0,1,0,1,1,5,Not at intersection,3,60,Local Road,50-59,Other injury,Bicyclists
T20120024889,11/4/2012,12:50:00,1,Collision with vehicle,1,Sunday,136,RIGHT TURN SIDESWIPE,1,36278,2,0,0,1,1,2,2,1,Cross intersection,3,60,Local Road,40-49,Other injury,Bicyclists
T20120024892,11/4/2012,16:10:00,1,Collision with vehicle,1,Sunday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,63680,2,0,0,1,1,2,1,1,Cross intersection,3,50,Local Road,50-59,Other injury,Bicyclists
T20120024900,10/5/2012,8:10:00,1,Collision with vehicle,6,Friday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE,1,91757,2,0,0,1,2,3,2,5,Not at intersection,3,60,Uknown,30-39,Other injury,Bicyclists
T20120024916,11/4/2012,21:50:00,1,Collision with vehicle,1,Sunday,148,VEHICLE OFF FOOTPATH STRIKES VEH ON CARRIAGEWAY,3,258471,2,0,1,0,1,2,1,2,T intersection,2,50,Uknown,26-29,Serious injury,Bicyclists
T20120024931,11/3/2012,23:00:00,1,Collision with vehicle,7,Saturday,113,RIGHT NEAR (INTERSECTIONS ONLY),3,35950,2,0,0,1,1,2,2,2,T intersection,3,50,Local Road,30-39,Other injury,Bicyclists
T20120024942,11/5/2012,8:31:00,1,Collision with vehicle,2,Monday,121,RIGHT THROUGH,1,45632,2,0,0,1,1,2,1,2,T intersection,3,40,Arterial Other,30-39,Other injury,Bicyclists
T20120025021,11/6/2012,9:25:00,1,Collision with vehicle,3,Tuesday,142,LEAVING PARKING,1,256291,2,0,1,0,1,2,2,5,Not at intersection,2,60,Arterial Other,30-39,Serious injury,Bicyclists
T20120025036,11/7/2012,1:50:00,1,Collision with vehicle,4,Wednesday,113,RIGHT NEAR (INTERSECTIONS ONLY),9,45632,2,0,0,1,1,2,1,2,T intersection,3,40,Arterial Other,30-39,Other injury,Bicyclists
T20120025058,11/7/2012,10:24:00,1,Collision with vehicle,4,Wednesday,137,LEFT TURN SIDESWIPE,1,50117,2,0,1,0,3,4,1,2,T intersection,2,50,Local Road,40-49,Serious injury,Bicyclists
T20120025090,8/10/2012,19:00:00,1,Collision with vehicle,6,Friday,116,LEFT NEAR (INTERSECTIONS ONLY),6,258466,2,0,0,1,1,2,2,2,T intersection,3,40,Local Road,22-25,Other injury,Bicyclists
T20120025102,11/7/2012,15:15:00,1,Collision with vehicle,4,Wednesday,135,LANE CHANGE LEFT (NOT OVERTAKING),1,45628,2,0,0,1,1,2,1,1,Cross intersection,3,40,Arterial Other,40-49,Other injury,Bicyclists
T20120025108,9/10/2012,8:20:00,1,Collision with vehicle,2,Monday,133,LANE SIDE SWIPE (VEHICLES IN PARALLEL LANES),1,38869,2,0,0,1,1,2,2,1,Cross intersection,3,60,Arterial Other,30-39,Other injury,Bicyclists
T20120025109,11/8/2012,8:30:00,1,Collision with vehicle,5,Thursday,148,VEHICLE OFF FOOTPATH STRIKES VEH ON CARRIAGEWAY,1,256328,2,0,1,0,1,2,1,2,T intersection,2,70,Local Road,45424,Serious injury,Bicyclists
T20120025110,11/8/2012,6:00:00,1,Collision with vehicle,5,Thursday,147,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,3,256330,2,0,1,0,1,2,1,5,Not at intersection,2,50,Arterial Highway,30-39,Serious injury,Bicyclists
T20120025113,11/8/2012,8:30:00,1,Collision with vehicle,5,Thursday,120,HEAD ON (NOT OVERTAKING),1,256402,2,0,0,1,3,4,1,5,Not at intersection,3,60,Arterial Other,45424,Other injury,Bicyclists
T20120025126,9/11/2012,13:30:00,1,Collision with vehicle,3,Tuesday,137,LEFT TURN SIDESWIPE,1,255168,2,0,0,1,1,2,2,5,Not at intersection,3,60,Arterial Other,30-39,Other injury,Bicyclists
T20120025130,10/19/2012,5:40:00,1,Collision with vehicle,6,Friday,160,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,3,257994,2,0,1,0,0,1,2,5,Not at intersection,2,60,Local Road,30-39,Serious injury,Bicyclists
T20120025144,11/8/2012,9:00:00,1,Collision with vehicle,5,Thursday,137,LEFT TURN SIDESWIPE,1,256667,2,0,0,1,1,2,1,2,T intersection,3,80,Arterial Other,50-59,Other injury,Bicyclists
T20120025163,11/8/2012,16:30:00,1,Collision with vehicle,5,Thursday,148,VEHICLE OFF FOOTPATH STRIKES VEH ON CARRIAGEWAY,1,410,2,0,0,1,1,2,1,1,Cross intersection,3,70,Arterial Highway,50-59,Other injury,Bicyclists
T20120025173,11/9/2012,0:32:00,8,No collision and no object struck,6,Friday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),3,35383,1,0,0,1,0,1,1,1,Cross intersection,3,40,Arterial Other,30-39,Other injury,Bicyclists
T20120025203,11/9/2012,13:00:00,1,Collision with vehicle,6,Friday,121,RIGHT THROUGH,1,59580,2,0,1,1,1,3,1,2,T intersection,2,50,Local Road,30-39,Serious injury,Bicyclists
T20120025231,11/9/2012,18:20:00,1,Collision with vehicle,6,Friday,148,VEHICLE OFF FOOTPATH STRIKES VEH ON CARRIAGEWAY,1,256511,2,0,1,0,1,2,1,5,Not at intersection,2,60,Local Road,22-25,Serious injury,Bicyclists
T20120025244,11/9/2012,18:16:00,1,Collision with vehicle,6,Friday,145,REVERSING IN STREAM OF TRAFFIC,1,256787,2,0,0,1,1,2,1,5,Not at intersection,3,40,Local Road,22-25,Other injury,Bicyclists
T20120025267,11/9/2012,10:00:00,1,Collision with vehicle,6,Friday,116,LEFT NEAR (INTERSECTIONS ONLY),1,256791,2,0,0,1,1,2,2,2,T intersection,3,50,Local Road,22-25,Other injury,Bicyclists
T20120025289,11/10/2012,16:35:00,1,Collision with vehicle,7,Saturday,139,OTHER SAME DIRECTION-MANOUEVRES NOT INCLUDED IN DCAs 130-137,1,256657,2,0,0,1,1,2,2,5,Not at intersection,3,60,Arterial Highway,30-39,Other injury,Bicyclists
T20120025297,11/10/2012,11:20:00,1,Collision with vehicle,7,Saturday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE,1,273909,2,0,0,1,1,2,2,5,Not at intersection,3,50,Arterial Other,22-25,Other injury,Bicyclists
T20120025331,11/11/2012,11:30:00,1,Collision with vehicle,1,Sunday,137,LEFT TURN SIDESWIPE,1,35589,2,0,0,1,1,2,2,1,Cross intersection,3,60,Local Road,30-39,Other injury,Bicyclists
T20120025343,11/11/2012,13:30:00,1,Collision with vehicle,1,Sunday,130,REAR END(VEHICLES IN SAME LANE),1,256829,2,0,0,1,2,3,1,5,Not at intersection,3,70,Arterial Highway,22-25,Other injury,Bicyclists
T20120025392,10/21/2012,6:18:00,8,No collision and no object struck,1,Sunday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,256096,1,0,0,1,0,1,2,5,Not at intersection,3,100,Freeway,26-29,Other injury,Bicyclists
T20120025393,11/12/2012,8:35:00,1,Collision with vehicle,2,Monday,147,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,1,73784,2,0,0,1,1,2,1,1,Cross intersection,3,50,Uknown,45424,Other injury,Bicyclists
T20120025404,11/12/2012,9:39:00,1,Collision with vehicle,2,Monday,133,LANE SIDE SWIPE (VEHICLES IN PARALLEL LANES),1,256552,2,0,1,0,1,2,1,5,Not at intersection,2,40,Local Road,30-39,Serious injury,Bicyclists
T20120025406,10/23/2012,6:45:00,1,Collision with vehicle,3,Tuesday,130,REAR END(VEHICLES IN SAME LANE),2,255637,2,0,0,1,1,2,2,5,Not at intersection,3,50,Local Road,26-29,Other injury,Bicyclists
T20120025413,11/12/2012,12:20:00,1,Collision with vehicle,2,Monday,148,VEHICLE OFF FOOTPATH STRIKES VEH ON CARRIAGEWAY,1,44150,2,0,0,2,2,4,1,2,T intersection,3,50,Arterial Other,65-69,Other injury,Bicyclists
T20120025422,11/12/2012,14:52:00,1,Collision with vehicle,2,Monday,148,VEHICLE OFF FOOTPATH STRIKES VEH ON CARRIAGEWAY,1,29651,2,0,1,0,1,2,1,1,Cross intersection,2,70,Arterial Highway,40-49,Serious injury,Bicyclists
T20120025448,11/12/2012,19:30:00,1,Collision with vehicle,2,Monday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),2,51004,2,0,0,1,1,2,1,1,Cross intersection,3,50,Local Road,40-49,Other injury,Bicyclists
T20120025454,11/4/2012,11:00:00,1,Collision with vehicle,1,Sunday,160,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,1,256535,2,0,1,0,0,1,2,5,Not at intersection,2,50,Arterial Other,50-59,Serious injury,Bicyclists
T20120025455,9/26/2012,11:15:00,8,No collision and no object struck,4,Wednesday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,255388,1,0,0,1,0,1,2,5,Not at intersection,3,50,Local Road,60-64,Other injury,Bicyclists
T20120025456,11/12/2012,8:30:00,1,Collision with vehicle,1,Monday,137,LEFT TURN SIDESWIPE,1,51633,2,0,0,1,1,2,2,1,Cross intersection,3,60,Arterial Highway,30-39,Other injury,Bicyclists
T20120025463,11/12/2012,19:10:00,1,Collision with vehicle,2,Monday,139,OTHER SAME DIRECTION-MANOUEVRES NOT INCLUDED IN DCAs 130-137,1,256553,2,0,0,1,1,2,1,5,Not at intersection,3,50,Local Road,45424,Other injury,Bicyclists
T20120025465,11/13/2012,6:15:00,1,Collision with vehicle,3,Tuesday,130,REAR END(VEHICLES IN SAME LANE),1,256533,2,0,1,0,1,2,1,5,Not at intersection,2,999,Arterial Highway,40-49,Serious injury,Bicyclists
T20120025468,11/12/2012,21:34:00,1,Collision with vehicle,2,Monday,121,RIGHT THROUGH,3,35500,2,0,0,1,1,2,1,1,Cross intersection,3,60,Arterial Highway,30-39,Other injury,Bicyclists
T20120025501,11/13/2012,8:39:00,4,Collision with a fixed object,3,Tuesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,269593,1,0,1,0,0,1,1,5,Not at intersection,2,50,Arterial Other,40-49,Serious injury,Bicyclists
T20120025526,11/13/2012,17:10:00,1,Collision with vehicle,3,Tuesday,148,VEHICLE OFF FOOTPATH STRIKES VEH ON CARRIAGEWAY,1,256578,3,0,1,0,2,3,1,5,Not at intersection,2,50,Local Road,30-39,Serious injury,Bicyclists
T20120025535,11/13/2012,18:15:00,1,Collision with vehicle,3,Tuesday,121,RIGHT THROUGH,1,36498,2,0,1,0,1,2,1,2,T intersection,2,60,Local Road,60-64,Serious injury,Bicyclists
T20120025558,11/14/2012,8:30:00,1,Collision with vehicle,4,Wednesday,148,VEHICLE OFF FOOTPATH STRIKES VEH ON CARRIAGEWAY,1,256381,2,0,0,1,1,2,1,5,Not at intersection,3,40,Local Road,45424,Other injury,Bicyclists
T20120025576,10/23/2012,13:30:00,7,Fall from or in moving vehicle,3,Tuesday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,257152,2,0,0,1,1,2,2,1,Cross intersection,3,60,Arterial Highway,65-69,Other injury,Bicyclists
T20120025582,11/13/2012,21:30:00,1,Collision with vehicle,3,Tuesday,148,VEHICLE OFF FOOTPATH STRIKES VEH ON CARRIAGEWAY,3,102136,2,0,1,1,0,2,1,1,Cross intersection,2,999,Arterial Highway,30-39,Other injury,Bicyclists
T20120025585,11/14/2012,13:00:00,1,Collision with vehicle,4,Wednesday,148,VEHICLE OFF FOOTPATH STRIKES VEH ON CARRIAGEWAY,1,256368,2,0,0,2,1,3,1,5,Not at intersection,3,888,Local Road,16-17,Other injury,Bicyclists
T20120025607,11/14/2012,16:15:00,1,Collision with vehicle,4,Wednesday,134,LANE CHANGE RIGHT (NOT OVERTAKING),1,258803,2,0,1,1,0,2,1,5,Not at intersection,2,80,Arterial Highway,70+,Serious injury,Bicyclists
T20120025609,11/14/2012,15:19:00,1,Collision with vehicle,4,Wednesday,121,RIGHT THROUGH,1,42912,2,0,0,1,1,2,1,2,T intersection,3,60,Arterial Other,40-49,Other injury,Bicyclists
